#                   file   nse gr rec1 rec2     id1     id2  n_avr a_max a  m  f  g asun_sca asmi_sca pro_sca asun_sol asmi_sol pro_sol      Ls      obs      ifg               utc_start
#                      1     2  3    4    5       6       7      8     910 11 12 13       14       15      16       17       18      19      20       21       22                      23
0E5E01_2018-263T03-13-37  3678  2 2441 2684  158739  158982  26353 16174 1  5  4  2   73.019   67.244   0.000    0.695    0.694 100.000 253.492 OCC_SOL  SHORT    2018-SEP-20-04:59:27.02
0E5F01_2018-263T05-11-29  3679  2 1409 2016  160427  161034  26354 19004 1  5  4  2  138.141   67.320   0.000    0.429    0.422 100.000 253.524 OCC_SOL  SHORT    2018-SEP-20-06:12:37.41
0E6001_2018-263T07-09-22  3680  2 2493 3077  164628  165212  26353 16388 1  5  4  2  145.179  145.175   0.000    0.695    0.694 100.000 253.597 OCC_SOL  SHORT    2018-SEP-20-08:58:12.64
0E6101_2018-263T09-07-16  3681  2 1410 2020  166700  167310  26350 19108 1  5  4  2  138.097   67.317   0.000    0.429    0.421 100.000 253.628 OCC_SOL  SHORT    2018-SEP-20-10:08:26.30
0E6301_2018-263T13-02-59  3683  2 1409 1644  172538  172773  26355 16603 1  5  4  2   73.568   67.237   0.000    0.685    0.682 100.000 253.732 OCC_SOL  SHORT    2018-SEP-20-14:04:07.32
0E6401_2018-263T15-00-49  3684  2 2439 2680  176284  176525  26346 16362 1  5  4  2   73.419   67.244   0.000    0.695    0.694 100.000 253.803 OCC_SOL  SHORT    2018-SEP-20-16:46:38.82
0E6501_2018-263T16-58-39  3685  2 1411 2023  177970  178583  26348 19007 1  5  4  2  137.540   67.319   0.000    0.429    0.423 100.000 253.836 OCC_SOL  SHORT    2018-SEP-20-17:59:51.29
0E6601_2018-263T18-56-33  3686  2 2440 2684  182122  182366  26353 15833 1  5  4  2   73.022   67.237   0.000    0.695    0.692 100.000 253.907 OCC_SOL  SHORT    2018-SEP-20-20:42:23.31
0E6701_2018-263T20-54-29  3687  2 1410 2022  183811  184423  26351 19078 1  5  4  2  138.115   67.321   0.000    0.429    0.423 100.000 253.940 OCC_SOL  SHORT    2018-SEP-20-21:55:42.22
0E6901_2018-264T00-50-15  3689  2 1409 1644  189649  189884  26352 16482 1  5  4  2   73.587   67.239   0.000    0.685    0.683 100.000 254.044 OCC_SOL  SHORT    2018-SEP-21-01:51:24.17
0E6A01_2018-264T02-48-03  3690  2 2438 2680  193392  193634  26340 15886 1  5  4  2   73.403   67.243   0.000    0.695    0.693 100.000 254.115 OCC_SOL  SHORT    2018-SEP-21-04:33:46.19
0E6B01_2018-264T04-45-53  3691  2 1411 2055  195079  195697  26352 18917 1  5  4  2  137.486   67.319   0.000    0.429    0.423 100.000 254.147 OCC_SOL  SHORT    2018-SEP-21-05:47:05.01
0E6C01_2018-264T06-43-46  3692  2 2491 3080  199287  199876  26353 16325 1  5  4  2  145.091  145.087   0.000    0.695    0.694 100.000 254.220 OCC_SOL  SHORT    2018-SEP-21-08:32:31.61
0E6D01_2018-264T08-41-40  3693  2 1413 2025  201367  201979  26358 19013 1  5  4  2  138.216   67.332   0.000    0.429    0.421 100.000 254.251 OCC_SOL  SHORT    2018-SEP-21-09:42:55.06
0E6F01_2018-264T12-37-25  3695  2 1412 1648  207208  207444  26354 16750 1  5  4  2   73.547   67.232   0.000    0.685    0.682 100.000 254.355 OCC_SOL  SHORT    2018-SEP-21-13:38:38.33
0E7001_2018-264T14-35-16  3696  2 2485 3078  210997  211590  26356 17918 1  5  4  2  145.275  145.272   0.000    0.439    0.437 100.000 254.428 OCC_SOL  SHORT    2018-SEP-21-16:23:54.63
0E7101_2018-264T16-33-03  3697  2 1411 1647  213080  213316  26355 16693 1  5  4  2   73.543   67.232   0.000    0.685    0.682 100.000 254.459 OCC_SOL  SHORT    2018-SEP-21-17:34:18.89
0E7201_2018-264T18-30-56  3698  2 2437 2680  216820  217063  26358 16076 1  5  4  2   73.367   67.243   0.000    0.695    0.694 100.000 254.531 OCC_SOL  SHORT    2018-SEP-21-20:16:40.53
0E7301_2018-264T20-28-52  3699  2 1411 2030  218510  219129  26355 19115 1  5  4  2  137.640   67.316   0.000    0.429    0.421 100.000 254.563 OCC_SOL  SHORT    2018-SEP-21-21:30:08.85
0E7501_2018-265T00-24-40  3701  2 1411 2028  224353  224970  26355 16688 1  5  4  2  138.653   67.235   0.000    0.685    0.682 100.000 254.667 OCC_SOL  SHORT    2018-SEP-22-01:25:54.75
0E7801_2018-265T06-18-11  3704  2 2479 3077  234420  235018  26356 17946 1  5  4  2  145.275  145.270   0.000    0.438    0.435 100.000 254.844 OCC_SOL  SHORT    2018-SEP-22-08:06:48.54
0E7901_2018-265T08-16-06  3705  2 1411 2033  236510  237132  26360 16629 1  5  4  2  138.144   67.234   0.000    0.685    0.683 100.000 254.875 OCC_SOL  SHORT    2018-SEP-22-09:17:24.66
0E7A01_2018-265T10-14-00  3706  2 2429 2674  240655  240900  26356 16094 1  5  4  2   72.335   67.244   0.000    0.695    0.694 100.000 254.946 OCC_SOL  SHORT    2018-SEP-22-11:59:38.36
0E7B01_2018-265T12-11-52  3707  2 6837 7459  247775  248397  26358 19110 1  5  4  2  138.629   67.318   0.000    0.429    0.422 100.000 255.082 OCC_SOL  SHORT    2018-SEP-22-17:08:50.52
0FDA01_2018-294T04-52-56  4058  2 1849 1852   13797   13800  26294 14977 1  5  4  2   67.244   67.244   0.000    0.691    0.691 100.000 273.126 OCC_SOL  SHORT    2018-OCT-21-06:50:33.37
0FDB01_2018-294T06-50-41  4059  1    1  938   13801   14738  26302 15840 1  5  4  2   72.981   67.243   0.000    0.691    0.690 100.000 273.126 OCC_SOL  SHORT    2018-OCT-21-06:50:47.44
0FDE01_2018-294T12-44-05  4062  2 1079 1652   20415   20988  26328 16035 1  5  4  2   73.071   67.244   0.000    0.691    0.686 100.000 273.310 OCC_SOL  SHORT    2018-OCT-21-13:52:47.00
0FE001_2018-294T16-39-37  4064  2 1067 1650   24091   24674  26330 15887 1  5  4  2   72.802   67.241   0.000    0.691    0.686 100.000 273.412 OCC_SOL  SHORT    2018-OCT-21-17:47:55.07
0FE201_2018-294T20-35-07  4066  2 1063 1654   27767   28358  26334 16144 1  5  4  2   72.740   67.243   0.000    0.691    0.686 100.000 273.515 OCC_SOL  SHORT    2018-OCT-21-21:43:25.13
0FE401_2018-295T00-30-49  4068  2 1057 1656   31435   32034  26336 16071 1  5  4  2   73.062   67.244   0.000    0.691    0.686 100.000 273.617 OCC_SOL  SHORT    2018-OCT-22-01:38:39.92
0FE601_2018-295T04-26-21  4070  2 1053 1662   35103   35712  26335 16023 1  5  4  2   72.999   67.245   0.000    0.691    0.686 100.000 273.719 OCC_SOL  SHORT    2018-OCT-22-05:33:51.99
0FE801_2018-295T08-21-53  4072  2 1047 1668   38765   39386  26341 15794 1  5  4  2   72.869   67.243   0.000    0.691    0.686 100.000 273.822 OCC_SOL  SHORT    2018-OCT-22-09:29:10.08
0FEA01_2018-295T12-17-32  4074  2 1041 1672   42431   43062  26338 15916 1  5  4  2   72.772   67.243   0.000    0.691    0.686 100.000 273.924 OCC_SOL  SHORT    2018-OCT-22-13:24:31.79
0FEB01_2018-295T14-15-22  4075  2 1039 5972   44263   49196  26336 18105 1  5  4  2  144.546   67.326   0.000    0.436    0.432 100.000 273.975 OCC_SOL  SHORT    2018-OCT-22-15:22:07.50
0FEC01_2018-295T16-13-08  4076  2 1041 1678   50424   51061  26334 16041 1  5  4  2   73.099   67.243   0.000    0.691    0.686 100.000 274.026 OCC_SOL  SHORT    2018-OCT-22-17:19:45.69
0FEE01_2018-295T20-08-40  4078  2 1039 6060   54098   59119  26336 18100 1  5  4  2  144.675   67.326   0.000    0.436    0.431 100.000 274.129 OCC_SOL  SHORT    2018-OCT-22-21:15:21.74
0FEF01_2018-295T22-06-30  4079  2 1043 1690   60343   60990  26334 15996 1  5  4  2   73.018   67.243   0.000    0.691    0.686 100.000 274.180 OCC_SOL  SHORT    2018-OCT-22-23:13:05.17
0FF001_2018-296T00-04-22  4080  2 1033 2836   62175   63978  26340 16049 1  5  4  2  143.597   67.251   0.000    0.694    0.692 100.000 274.231 OCC_SOL  SHORT    2018-OCT-23-01:10:44.55
0FF001_2018-296T00-04-22  4080  4 2937 3220   64080   64363  26338 16079 1  5  4  2   72.570   67.248   0.000    0.688    0.686 100.000 274.241 OCC_SOL  SHORT    2018-OCT-23-01:34:31.68
0FF101_2018-296T02-02-12  4081  2 1033 6176   65544   70687  26341 18524 1  5  4  2  144.690   67.326   0.000    0.436    0.431 100.000 274.282 OCC_SOL  SHORT    2018-OCT-23-03:08:22.12
0FF201_2018-296T03-59-58  4082  2 1029 1312   71890   72173  26342 15794 1  5  4  2   72.507   67.242   0.000    0.694    0.692 100.000 274.333 OCC_SOL  SHORT    2018-OCT-23-05:06:04.54
0FF201_2018-296T03-59-58  4082  4 1417 1688   72278   72549  26330 15877 1  5  4  2   72.738   67.248   0.000    0.688    0.686 100.000 274.344 OCC_SOL  SHORT    2018-OCT-23-05:30:58.66
0FF401_2018-296T07-55-31  4084  2 1029 2671   75556   77198  26335 18494 1  5  4  2  143.449   67.326   0.000    0.439    0.435 100.000 274.436 OCC_SOL  SHORT    2018-OCT-23-09:01:27.55
0FF401_2018-296T07-55-31  4084  4 2854 4374   77382   78902  26338 17624 1  5  4  2  145.277  145.272   0.000    0.433    0.431 100.000 274.448 OCC_SOL  SHORT    2018-OCT-23-09:30:11.59
0FF501_2018-296T09-53-20  4085  2 1023 2626   80098   81701  26335 16242 1  5  4  2  143.208   67.242   0.000    0.694    0.693 100.000 274.487 OCC_SOL  SHORT    2018-OCT-23-10:59:14.01
0FF501_2018-296T09-53-20  4085  4 2787 3048   81863   82124  26333 15742 1  5  4  2   72.952   67.248   0.000    0.688    0.686 100.000 274.498 OCC_SOL  SHORT    2018-OCT-23-11:25:27.15
0FF601_2018-296T11-51-11  4086  2 1023 1288   83287   83552  26336 15853 1  5  4  2   72.865   67.242   0.000    0.694    0.692 100.000 274.538 OCC_SOL  SHORT    2018-OCT-23-12:56:57.71
0FF601_2018-296T11-51-11  4086  4 1477 2927   83741   85191  26337 15987 1  5  4  2  145.181  145.179   0.000    0.687    0.686 100.000 274.551 OCC_SOL  SHORT    2018-OCT-23-13:26:41.79
0FF701_2018-296T13-49-01  4087  2 1021 2558   86379   87916  26337 18230 1  5  4  2  143.041   67.324   0.000    0.439    0.434 100.000 274.589 OCC_SOL  SHORT    2018-OCT-23-14:54:38.79
0FF701_2018-296T13-49-01  4087  4 2777 4195   88136   89554  26342 17674 1  5  4  2  145.277  145.275   0.000    0.433    0.431 100.000 274.602 OCC_SOL  SHORT    2018-OCT-23-15:24:50.56
0FF801_2018-296T15-46-49  4088  2 1019 1278   90738   90997  26334 15725 1  5  4  2   72.993   67.244   0.000    0.694    0.692 100.000 274.640 OCC_SOL  SHORT    2018-OCT-23-16:52:16.45
0FF801_2018-296T15-46-49  4088  4 1447 1696   91166   91415  26335 16043 1  5  4  2   73.220   67.248   0.000    0.687    0.686 100.000 274.652 OCC_SOL  SHORT    2018-OCT-23-17:19:51.48
0FFA01_2018-296T19-42-22  4090  2 1021 2488   94404   95871  26341 18512 1  5  4  2  143.111   67.325   0.000    0.439    0.434 100.000 274.743 OCC_SOL  SHORT    2018-OCT-23-20:47:48.30
0FFA01_2018-296T19-42-22  4090  4 2729 4077   96113   97461  26340 17630 1  5  4  2  145.189  145.188   0.000    0.433    0.431 100.000 274.756 OCC_SOL  SHORT    2018-OCT-23-21:18:57.76
0FFB01_2018-296T21-40-12  4091  2 1020 1270   98640   98890  26339 29386 1  5  4  2   73.200   67.243   0.000    0.694    0.693 100.000 274.794 OCC_SOL  SHORT    2018-OCT-23-22:45:33.20
0FFB01_2018-296T21-40-12  4091  4 1500 2827   99121  100448  26343 16268 1  5  4  2  145.181  145.180   0.000    0.687    0.686 100.000 274.808 OCC_SOL  SHORT    2018-OCT-23-23:17:05.61
0FFC01_2018-296T23-38-04  4092  2 1014 2431  101620  103038  26340 18168 1  5  4  2  142.974   67.326   0.000    0.439    0.435 100.000 274.845 OCC_SOL  SHORT    2018-OCT-24-00:43:17.30
0FFC01_2018-296T23-38-04  4092  4 2690 3993  103298  104601  26340 17590 1  5  4  2  145.189  145.187   0.000    0.433    0.431 100.000 274.859 OCC_SOL  SHORT    2018-OCT-24-01:15:12.64
0FFD01_2018-297T01-35-55  4093  2 1015 1262  105773  106020  26347 15860 1  5  4  2   73.310   67.241   0.000    0.695    0.692 100.000 274.896 OCC_SOL  SHORT    2018-OCT-24-02:41:02.84
0FFD01_2018-297T01-35-55  4093  4 1471 1710  106229  106468  26329 15950 1  5  4  2   72.946   67.249   0.000    0.687    0.686 100.000 274.909 OCC_SOL  SHORT    2018-OCT-24-03:10:18.78
0FFE01_2018-297T03-33-45  4094  2 1013 1258  107607  107852  26337 15807 1  5  4  2   72.377   67.242   0.000    0.695    0.693 100.000 274.947 OCC_SOL  SHORT    2018-OCT-24-04:38:48.21
0FFE01_2018-297T03-33-45  4094  4 1473 1710  108067  108304  26347 15906 1  5  4  2   73.531   67.246   0.000    0.687    0.686 100.000 274.960 OCC_SOL  SHORT    2018-OCT-24-05:08:17.33
100001_2018-297T07-29-16  4096  2 1017 2357  111279  112619  26341 18034 1  5  4  2  143.022   67.325   0.000    0.439    0.434 100.000 275.050 OCC_SOL  SHORT    2018-OCT-24-08:34:16.29
100001_2018-297T07-29-16  4096  4 2640 3868  112903  114131  26339 17663 1  5  4  2  145.277  145.275   0.000    0.433    0.431 100.000 275.064 OCC_SOL  SHORT    2018-OCT-24-09:07:15.78
100101_2018-297T09-27-06  4097  2 1009 1248  115291  115530  26346 16029 1  5  4  2   72.434   67.241   0.000    0.695    0.693 100.000 275.101 OCC_SOL  SHORT    2018-OCT-24-10:31:58.67
100101_2018-297T09-27-06  4097  4 1483 1714  115765  115996  26342 15940 1  5  4  2   72.638   67.246   0.000    0.687    0.685 100.000 275.114 OCC_SOL  SHORT    2018-OCT-24-11:02:24.85
100201_2018-297T11-24-58  4098  2 1011 2314  117127  118430  26341 18581 1  5  4  2  142.753   67.325   0.000    0.439    0.434 100.000 275.152 OCC_SOL  SHORT    2018-OCT-24-12:29:44.11
100201_2018-297T11-24-58  4098  4 2615 3807  118732  119924  26342 17581 1  5  4  2  145.276  145.188   0.000    0.432    0.431 100.000 275.167 OCC_SOL  SHORT    2018-OCT-24-13:03:27.60
100301_2018-297T13-22-50  4099  2 1007 1244  121078  121315  26339 15867 1  5  4  2   72.476   67.241   0.000    0.695    0.693 100.000 275.203 OCC_SOL  SHORT    2018-OCT-24-14:27:30.64
100301_2018-297T13-22-50  4099  4 1493 1720  121564  121791  26345 15939 1  5  4  2   72.750   67.247   0.000    0.687    0.686 100.000 275.217 OCC_SOL  SHORT    2018-OCT-24-14:58:34.84
100401_2018-297T15-20-40  4100  2 1009 1240  122916  123147  26339 15671 1  5  4  2   73.013   67.241   0.000    0.695    0.693 100.000 275.254 OCC_SOL  SHORT    2018-OCT-24-16:25:18.96
100401_2018-297T15-20-40  4100  4 1533 2691  123440  124598  26341 15963 1  5  4  2  145.181  145.092   0.000    0.687    0.686 100.000 275.269 OCC_SOL  SHORT    2018-OCT-24-16:59:30.53
100601_2018-297T19-16-15  4102  2 1007 2250  127584  128827  26344 18542 1  5  4  2  143.190   67.327   0.000    0.439    0.434 100.000 275.357 OCC_SOL  SHORT    2018-OCT-24-20:20:45.09
100601_2018-297T19-16-15  4102  4 2569 3703  129147  130281  26341 17591 1  5  4  2  145.210  145.187   0.000    0.432    0.431 100.000 275.372 OCC_SOL  SHORT    2018-OCT-24-20:55:24.64
100701_2018-297T21-14-04  4103  2 1003 1232  131425  131654  26338 15804 1  5  4  2   73.079   67.241   0.000    0.695    0.693 100.000 275.408 OCC_SOL  SHORT    2018-OCT-24-22:18:30.44
100701_2018-297T21-14-04  4103  4 1501 1722  131923  132144  26342 15916 1  5  4  2   72.853   67.248   0.000    0.687    0.686 100.000 275.422 OCC_SOL  SHORT    2018-OCT-24-22:50:29.63
100801_2018-297T23-11-55  4104  2 1003 2218  133261  134476  26339 18629 1  5  4  2  142.732   67.324   0.000    0.439    0.434 100.000 275.459 OCC_SOL  SHORT    2018-OCT-25-00:16:17.03
100801_2018-297T23-11-55  4104  4 2549 3654  134808  135913  26342 17667 1  5  4  2  145.188  145.186   0.000    0.432    0.431 100.000 275.474 OCC_SOL  SHORT    2018-OCT-25-00:51:29.80
100901_2018-298T01-09-48  4105  2 1003 1228  137054  137279  26344 15740 1  5  4  2   73.855   67.240   0.000    0.695    0.693 100.000 275.510 OCC_SOL  SHORT    2018-OCT-25-02:14:03.38
100901_2018-298T01-09-48  4105  4 1543 2636  137594  138687  26347 16117 1  5  4  2  145.181  145.178   0.000    0.687    0.686 100.000 275.525 OCC_SOL  SHORT    2018-OCT-25-02:49:29.72
100A01_2018-298T03-07-38  4106  2 1003 2196  139826  141019  26343 18384 1  5  4  2  142.654   67.326   0.000    0.439    0.434 100.000 275.561 OCC_SOL  SHORT    2018-OCT-25-04:11:49.87
100A01_2018-298T03-07-38  4106  4 2537 3620  141362  142445  26343 17687 1  5  4  2  145.276  145.274   0.000    0.432    0.431 100.000 275.576 OCC_SOL  SHORT    2018-OCT-25-04:47:28.69
100C01_2018-298T07-03-10  4108  2 1001 1222  145421  145642  26337 15734 1  5  4  2   72.854   67.241   0.000    0.695    0.693 100.000 275.663 OCC_SOL  SHORT    2018-OCT-25-08:07:16.91
100C01_2018-298T07-03-10  4108  4 1515 1730  145935  146150  26335 16038 1  5  4  2   73.010   67.247   0.000    0.687    0.686 100.000 275.678 OCC_SOL  SHORT    2018-OCT-25-08:40:19.02
100D01_2018-298T09-00-59  4109  2  997 2151  147255  148410  26343 16041 1  5  4  2  142.563   67.240   0.000    0.695    0.694 100.000 275.714 OCC_SOL  SHORT    2018-OCT-25-10:05:01.34
100D01_2018-298T09-00-59  4109  4 2470 2681  148730  148941  26337 16037 1  5  4  2   73.121   67.247   0.000    0.687    0.686 100.000 275.729 OCC_SOL  SHORT    2018-OCT-25-10:38:26.43
100E01_2018-298T10-58-52  4110  2  995 2139  150044  151188  26345 18738 1  5  4  2  142.643   67.336   0.000    0.439    0.434 100.000 275.765 OCC_SOL  SHORT    2018-OCT-25-12:02:49.83
100E01_2018-298T10-58-52  4110  4 2498 3533  151548  152583  26346 17670 1  5  4  2  145.276  145.274   0.000    0.432    0.431 100.000 275.781 OCC_SOL  SHORT    2018-OCT-25-12:39:20.58
100F01_2018-298T12-56-42  4111  2 1001 1218  153717  153934  26342 15804 1  5  4  2   72.957   67.240   0.000    0.695    0.693 100.000 275.817 OCC_SOL  SHORT    2018-OCT-25-14:00:39.29
100F01_2018-298T12-56-42  4111  4 1527 1738  154243  154454  26345 15937 1  5  4  2   73.120   67.247   0.000    0.687    0.685 100.000 275.831 OCC_SOL  SHORT    2018-OCT-25-14:34:22.46
101201_2018-298T18-50-08  4114  2  993 1210  161022  161239  26334 15865 1  5  4  2   72.955   67.240   0.000    0.695    0.694 100.000 275.970 OCC_SOL  SHORT    2018-OCT-25-19:53:49.74
101201_2018-298T18-50-08  4114  4 1531 1739  161560  161768  26352 15858 1  5  4  2   73.202   67.247   0.000    0.687    0.685 100.000 275.985 OCC_SOL  SHORT    2018-OCT-25-20:28:12.78
101301_2018-298T20-47-57  4115  2  993 2084  162862  163953  26348 16093 1  5  4  2  142.278   67.240   0.000    0.695    0.693 100.000 276.021 OCC_SOL  SHORT    2018-OCT-25-21:51:42.19
101301_2018-298T20-47-57  4115  4 2429 2636  164299  164506  26352 16024 1  5  4  2   73.233   67.247   0.000    0.687    0.685 100.000 276.036 OCC_SOL  SHORT    2018-OCT-25-22:26:12.27
101401_2018-298T22-45-49  4116  2  991 2073  165597  166679  26342 18491 1  5  4  2  142.398   67.322   0.000    0.439    0.433 100.000 276.072 OCC_SOL  SHORT    2018-OCT-25-23:49:33.75
101401_2018-298T22-45-49  4116  4 2458 3437  167065  168044  26350 17626 1  5  4  2  145.276  145.274   0.000    0.432    0.431 100.000 276.088 OCC_SOL  SHORT    2018-OCT-26-00:27:09.62
101501_2018-299T00-43-42  4117  2  992 1205  169164  169377  26343 15701 1  5  4  2   73.144   67.240   0.000    0.695    0.694 100.000 276.123 OCC_SOL  SHORT    2018-OCT-26-01:47:16.14
101501_2018-299T00-43-42  4117  4 1538 1743  169710  169915  26335 15986 1  5  4  2   73.357   67.247   0.000    0.687    0.686 100.000 276.138 OCC_SOL  SHORT    2018-OCT-26-02:22:11.19
101601_2018-299T02-41-33  4118  2  991 2056  171004  172069  26352 18567 1  5  4  2  142.271   67.322   0.000    0.439    0.433 100.000 276.174 OCC_SOL  SHORT    2018-OCT-26-03:45:04.55
101601_2018-299T02-41-33  4118  4 2449 3409  172462  173422  26347 17642 1  5  4  2  145.188  145.186   0.000    0.432    0.430 100.000 276.191 OCC_SOL  SHORT    2018-OCT-26-04:23:05.48
101801_2018-299T06-37-09  4120  2  989 1200  176378  176589  26341 15904 1  5  4  2   72.678   67.240   0.000    0.695    0.694 100.000 276.276 OCC_SOL  SHORT    2018-OCT-26-07:40:34.61
101801_2018-299T06-37-09  4120  4 1541 1742  176930  177131  26343 16105 1  5  4  2   73.408   67.247   0.000    0.687    0.686 100.000 276.292 OCC_SOL  SHORT    2018-OCT-26-08:15:55.76
101901_2018-299T08-34-56  4121  2  991 2030  178216  179256  26344 18442 1  5  4  2  142.308   67.587   0.000    0.439    0.434 100.000 276.328 OCC_SOL  SHORT    2018-OCT-26-09:38:22.87
101901_2018-299T08-34-56  4121  4 2431 3367  179658  180594  26346 17599 1  5  4  2  145.211  145.186   0.000    0.432    0.430 100.000 276.344 OCC_SOL  SHORT    2018-OCT-26-10:16:49.60
107C01_2018-307T11-01-58  4220  2  249  847     249     847  26233 14187 1  5  4  2  145.164  145.086   0.000    0.685    0.685 100.000 281.490 OCC_SOL  SHORT    2018-NOV-03-16:45:07.84
107F01_2018-307T16-55-39  4223  2  343  993    1217    1867  26240 16241 1  5  4  2  144.078   67.320   0.000    0.439    0.431 100.000 281.522 OCC_SOL  SHORT    2018-NOV-03-17:57:35.42
108001_2018-307T18-53-30  4224  2  583  630    2713    2760  26242 14401 1  5  4  2   72.478   67.245   0.000    0.686    0.685 100.000 281.591 OCC_SOL  SHORT    2018-NOV-03-20:39:03.03
108101_2018-307T20-51-18  4225  2  341  990    3121    3770  26272 16909 1  5  4  2  143.914   67.322   0.000    0.439    0.432 100.000 281.623 OCC_SOL  SHORT    2018-NOV-03-21:53:06.43
108201_2018-307T22-49-08  4226  2  579  624    4612    4657  26288 15011 1  5  4  2   72.658   67.245   0.000    0.686    0.685 100.000 281.693 OCC_SOL  SHORT    2018-NOV-04-00:34:50.05
108501_2018-308T04-42-49  4229  2  335  976    6302    6943  26316 17373 1  5  4  2  143.986   67.321   0.000    0.439    0.432 100.000 281.826 OCC_SOL  SHORT    2018-NOV-04-05:44:28.31
108601_2018-308T06-40-40  4230  2  579 1168    7783    8372  26327 15955 1  5  4  2  145.030  143.687   0.000    0.686    0.684 100.000 281.896 OCC_SOL  SHORT    2018-NOV-04-08:28:10.61
108701_2018-308T08-38-32  4231  2  335  971    8734    9370  26327 17402 1  5  4  2  144.295   67.318   0.000    0.438    0.430 100.000 281.927 OCC_SOL  SHORT    2018-NOV-04-09:40:24.25
108801_2018-308T10-36-19  4232  2  579 1163   10209   10793  26337 15931 1  5  4  2  145.094  145.088   0.000    0.685    0.685 100.000 281.998 OCC_SOL  SHORT    2018-NOV-04-12:23:52.70
108A01_2018-308T14-32-05  4234  2  579 1161   12037   12619  26336 17527 1  5  4  2  145.274  145.271   0.000    0.430    0.429 100.000 282.099 OCC_SOL  SHORT    2018-NOV-04-16:19:39.63
108B01_2018-308T16-29-57  4235  2  333  380   12979   13026  26330 15334 1  5  4  2   72.479   67.285   0.000    0.710    0.708 100.000 282.130 OCC_SOL  SHORT    2018-NOV-04-17:31:40.14
108C01_2018-308T18-27-50  4236  2  573  618   13855   13900  26348 15913 1  5  4  2   72.662   67.245   0.000    0.686    0.685 100.000 282.200 OCC_SOL  SHORT    2018-NOV-04-20:13:46.94
108D01_2018-308T20-25-41  4237  2  333  963   14253   14883  26347 17477 1  5  4  2  144.113   67.318   0.000    0.438    0.430 100.000 282.232 OCC_SOL  SHORT    2018-NOV-04-21:27:30.18
108E01_2018-308T22-23-29  4238  2  577 1154   15719   16296  26343 15978 1  5  4  2  145.178  145.175   0.000    0.685    0.685 100.000 282.302 OCC_SOL  SHORT    2018-NOV-05-00:11:07.58
109001_2018-309T02-19-13  4240  2  579 1155   17536   18112  26360 17590 1  5  4  2  145.187  145.184   0.000    0.430    0.429 100.000 282.403 OCC_SOL  SHORT    2018-NOV-05-04:06:57.60
109101_2018-309T04-17-07  4241  2  333  958   18470   19095  26348 16230 1  5  4  2  143.934   67.241   0.000    0.695    0.694 100.000 282.434 OCC_SOL  SHORT    2018-NOV-05-05:18:48.12
109201_2018-309T06-15-01  4242  2  577 1151   19931   20505  26351 16151 1  5  4  2  145.179  145.177   0.000    0.685    0.685 100.000 282.505 OCC_SOL  SHORT    2018-NOV-05-08:02:44.59
109301_2018-309T08-12-52  4243  2  333  956   20863   21486  26351 17562 1  5  4  2  144.278   67.586   0.000    0.438    0.433 100.000 282.536 OCC_SOL  SHORT    2018-NOV-05-09:14:36.00
109401_2018-309T10-10-39  4244  2  577 1149   22322   22894  26355 15963 1  5  4  2  145.179  145.177   0.000    0.685    0.684 100.000 282.606 OCC_SOL  SHORT    2018-NOV-05-11:58:24.59
10A801_2018-311T01-27-56  4264  1    1  561   23788   24348  26246 16053 1  5  4  2  145.274  145.185   0.000    0.430    0.429 100.000 283.618 OCC_SOL  SHORT    2018-NOV-07-03:16:00.68
10D501_2018-314T17-52-07  4309  2  341  388     519     566  26239 14907 1  5  4  2   72.434   67.239   0.000    0.695    0.693 100.000 285.870 OCC_SOL  SHORT    2018-NOV-10-18:53:31.38
10D601_2018-314T19-50-02  4310  2  595 1140    1425    1970  26261 16516 1  5  4  2  145.274  145.272   0.000    0.430    0.429 100.000 285.941 OCC_SOL  SHORT    2018-NOV-10-21:38:20.43
10D701_2018-314T21-47-54  4311  2  337  382    2332    2377  26257 14193 1  5  4  2   72.655   67.238   0.000    0.695    0.693 100.000 285.971 OCC_SOL  SHORT    2018-NOV-10-22:49:19.22
10D801_2018-314T23-45-44  4312  2  585  628    3226    3269  26291 14965 1  5  4  2   73.040   67.245   0.000    0.686    0.684 100.000 286.041 OCC_SOL  SHORT    2018-NOV-11-01:32:18.97
10DA01_2018-315T03-41-27  4314  2  587 1133    4518    5064  26314 17277 1  5  4  2  145.274  145.272   0.000    0.430    0.429 100.000 286.142 OCC_SOL  SHORT    2018-NOV-11-05:29:47.54
112801_2018-321T12-56-19  4392  2  211  256     211     256  26229 13788 1  5  4  2   72.658   67.247   0.000    0.686    0.685 100.000 290.157 OCC_SOL  SHORT    2018-NOV-17-18:37:55.31
112B01_2018-321T18-49-55  4395  2  341  974     617    1250  26230 16060 1  5  4  2  144.043   67.320   0.000    0.436    0.431 100.000 290.188 OCC_SOL  SHORT    2018-NOV-17-19:51:27.73
112C01_2018-321T20-47-52  4396  2  591 1178    2108    2695  26256 14138 1  5  4  2  145.178  145.175   0.000    0.685    0.684 100.000 290.257 OCC_SOL  SHORT    2018-NOV-17-22:35:30.60
112D01_2018-321T22-45-45  4397  2  339  974    3061    3696  26265 16544 1  5  4  2  144.046   67.320   0.000    0.436    0.431 100.000 290.288 OCC_SOL  SHORT    2018-NOV-17-23:47:23.51
